Vehicle_ID,Speed_mps,Speed_kmph,Position_X,Position_Y,Waiting_Time_sec
34753_353_0,6.06,21.83,10836.47,14003.89,0.0
34758_353_0,14.04,50.53,16938.43,12811.33,0.0
34893_353_0,14.6,52.57,11018.78,10484.8,0.0
34931_353_0,13.75,49.5,16873.25,12508.27,0.0
34983_353_0,0.0,0.0,10694.84,16360.0,6.0
35004_353_0,1.98,7.14,8603.73,21705.52,0.0
35145_353_0,14.2,51.1,16951.63,7601.98,0.0
35150_353_0,6.22,22.38,12718.35,20748.1,0.0
35177_353_0,13.21,47.56,8364.59,14557.05,0.0
35252_353_0,13.21,47.56,21031.86,17812.71,0.0
35277_354_0,6.42,23.12,5366.55,14802.53,0.0
35280_354_0,13.46,48.46,17367.3,16672.95,0.0
35290_354_0,12.63,45.48,18574.74,15213.14,0.0
35294_354_0,14.2,51.12,17814.9,17460.27,0.0
35340_354_0,27.98,100.73,18882.21,11452.34,0.0
35360_354_0,15.19,54.68,10530.19,15539.59,0.0
35367_354_0,0.02,0.08,8622.69,21693.52,3.0
35378_354_0,14.42,51.9,16618.81,16954.92,0.0
35380_354_0,11.72,42.2,15071.67,13301.07,0.0
35397_354_0,3.25,11.69,8562.22,21747.77,0.0
35402_354_0,0.17,0.61,20741.95,8000.89,0.0
35440_354_0,12.91,46.48,14090.73,13125.17,0.0
35447_354_0,13.19,47.48,14392.55,10231.9,0.0
35470_354_0,13.77,49.56,13115.31,13163.63,0.0
35471_354_0,0.19,0.7,19424.58,17157.81,0.0
35472_354_0,7.36,26.48,23811.37,11801.05,0.0
35473_354_0,0.05,0.18,12519.56,14503.65,2.0
35498_354_0,8.04,28.95,21023.57,14572.52,0.0
35513_354_0,0.01,0.02,20635.5,8368.58,3.0
35551_354_0,19.99,71.97,18375.33,12051.81,0.0
35554_354_0,22.87,82.35,21637.98,10567.96,0.0
35559_354_0,13.38,48.16,10696.0,14034.77,0.0
35563_354_0,30.97,111.49,9614.04,10432.35,0.0
35584_354_0,13.96,50.26,20885.17,8938.98,0.0
35597_354_0,10.31,37.13,17988.31,17771.75,0.0
35600_354_0,13.62,49.04,14083.44,15298.19,0.0
35607_354_0,0.29,1.06,8527.41,21881.17,0.0
35610_354_0,12.75,45.9,16197.67,14873.64,0.0
35633_354_0,15.24,54.88,9627.79,14084.66,0.0
35644_354_0,0.45,1.61,14651.79,12221.88,0.0
35674_354_0,22.58,81.3,14668.26,6451.35,0.0
35705_354_0,0.0,0.0,8712.7,14177.02,17.0
35723_354_0,12.7,45.71,14067.83,15490.15,0.0
35724_354_0,15.27,54.97,17027.45,16756.87,0.0
35740_354_0,26.82,96.57,22671.42,9458.0,0.0
35745_355_0,9.56,34.4,8900.03,15269.35,0.0
35752_355_0,11.85,42.64,11458.36,15927.09,0.0
35757_355_0,6.97,25.08,14936.52,17958.92,0.0
35759_355_0,14.43,51.94,15608.8,11440.12,0.0
35782_355_0,19.92,71.71,14636.11,15882.62,0.0
35818_355_0,34.75,125.09,20763.57,12921.49,0.0
35828_355_0,26.41,95.06,21529.46,10969.24,0.0
35833_355_0,13.91,50.08,10343.24,15947.27,0.0
35845_355_0,8.81,31.72,20055.63,6133.12,0.0
35864_355_0,0.0,0.0,8688.5,14154.66,10.0
35868_355_0,11.59,41.71,20684.18,8551.0,0.0
35870_355_0,16.25,58.5,10230.26,12555.68,0.0
35891_355_0,14.9,53.65,23549.22,7847.34,0.0
35903_355_0,21.42,77.13,18322.51,12062.93,0.0
35911_355_0,26.74,96.28,20518.55,13312.0,0.0
35923_355_0,14.33,51.59,18652.91,12488.32,0.0
35934_355_0,16.27,58.56,21059.28,15660.41,0.0
35935_355_0,23.04,82.95,12683.48,23262.82,0.0
35957_355_0,17.23,62.01,16843.45,10653.64,0.0
35974_355_0,12.78,46.0,14516.32,9350.28,0.0
35980_355_0,12.81,46.1,13941.0,14865.26,0.0
35982_355_0,13.65,49.13,14975.3,5846.84,0.0
35987_355_0,0.0,0.0,21175.54,10329.48,20.0
35993_355_0,2.55,9.2,20752.2,8197.89,0.0
36002_355_0,11.8,42.49,13496.42,16016.05,0.0
36016_355_0,22.89,82.4,8507.39,22034.22,0.0
36019_355_0,21.7,78.12,10903.59,9419.76,0.0
36028_355_0,30.63,110.28,11941.12,16603.89,0.0
36029_355_0,11.44,41.17,21957.19,10695.47,0.0
36047_355_0,13.33,48.0,9118.78,15200.53,0.0
36052_355_0,12.97,46.7,19177.16,17083.76,0.0
36060_355_0,12.68,45.63,21391.71,16783.83,0.0
36082_355_0,23.43,84.34,18772.33,11765.25,0.0
36085_355_0,21.23,76.41,18205.02,12114.79,0.0
36116_355_0,0.0,0.0,12938.98,14846.93,9.0
36128_355_0,29.75,107.11,19678.56,15202.98,0.0
36134_355_0,12.99,46.75,13242.54,15871.64,0.0
36148_355_0,13.17,47.4,16450.96,14818.81,0.0
36158_355_0,0.08,0.28,21062.03,14567.47,1.0
36165_355_0,0.0,0.0,15682.21,8446.89,25.0
36169_355_0,19.34,69.63,9734.41,22822.83,0.0
36170_355_0,16.18,58.25,5814.77,25727.93,0.0
36174_355_0,14.7,52.91,21231.63,12348.4,0.0
36196_355_0,10.29,37.06,12054.6,11990.79,0.0
36197_355_0,7.58,27.28,14998.78,16899.72,0.0
36199_355_0,26.4,95.06,20466.12,10503.85,0.0
36202_355_0,12.15,43.75,15432.72,10315.14,0.0
36210_356_0,0.92,3.31,17901.15,17631.05,0.0
36211_356_0,0.31,1.12,15630.41,8504.85,0.0
36216_356_0,28.89,104.0,11534.83,17340.98,0.0
36218_356_0,11.3,40.68,8969.56,22230.27,0.0
